symbol,trade_date,entry_time,or_high,or_low,or_range_pct,entry,sl,tp,quantity,position_value,risk_amount,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,gap_pct
360ONE,2026-05-05,2026-05-05 11:15:00,1068.0,1050.5,1.67,1068.0,1050.5,1094.25,93,99324.0,1627.5,2026-05-05 15:15:00,1071.5,EOD_EXIT,325.5,0.2,-0.08
360ONE,2026-05-07,2026-05-07 12:15:00,1095.9,1083.0,1.19,1095.9,1083.0,1115.25,91,99726.9,1173.9,2026-05-07 13:15:00,1115.25,TP_HIT,1760.85,1.5,0.0
360ONE,2026-05-13,2026-05-13 10:15:00,1096.8,1070.0,2.5,1096.8,1070.0,1137.0,91,99808.8,2438.8,2026-05-13 15:15:00,1076.4,EOD_EXIT,-1856.4,-0.76,-0.75
360ONE,2026-05-19,2026-05-19 14:15:00,1107.2,1092.0,1.39,1107.2,1092.0,1130.0,90,99648.0,1368.0,2026-05-19 15:15:00,1099.4,EOD_EXIT,-702.0,-0.51,-0.08
360ONE,2026-05-22,2026-05-22 12:15:00,1116.3,1103.0,1.21,1116.3,1103.0,1136.25,89,99350.7,1183.7,2026-05-22 15:15:00,1113.1,EOD_EXIT,-284.8,-0.24,-0.11
360ONE,2026-05-25,2026-05-25 10:15:00,1130.0,1119.1,0.97,1130.0,1119.1,1146.35,88,99440.0,959.2,2026-05-25 15:15:00,1142.8,EOD_EXIT,1126.4,1.17,1.17
360ONE,2026-06-12,2026-06-12 14:15:00,1087.6,1067.5,1.88,1087.6,1067.5,1117.75,91,98971.6,1829.1,2026-06-12 15:15:00,1098.6,EOD_EXIT,1001.0,0.55,1.47
360ONE,2026-06-18,2026-06-18 10:15:00,1161.9,1136.0,2.28,1161.9,1136.0,1200.75,86,99923.4,2227.4,2026-06-18 15:15:00,1139.6,EOD_EXIT,-1917.8,-0.86,0.62
360ONE,2026-06-22,2026-06-22 11:15:00,1151.3,1142.2,0.8,1151.3,1142.2,1164.95,86,99011.8,782.6,2026-06-22 13:15:00,1142.2,SL_HIT,-782.6,-1.0,0.33
360ONE,2026-07-03,2026-07-03 12:15:00,1092.3,1077.5,1.37,1092.3,1077.5,1114.5,91,99399.3,1346.8,2026-07-03 13:15:00,1114.5,TP_HIT,2020.2,1.5,1.31
